MK-312BT Mouser BOM Updated 4/18/2026,,,,,,,
Designator,Description,Quantity Per Unit,Supplier Part #,Part #,Sourced?,Mouser URL,Amazon URL
(LED Brightness Opt. 3),RES 220R,1,660-MF1/4DCT52R2200F,MF1/4DCT52R2200F,X,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R2200F,https://www.amazon.com/s?k=MF1%2F4DCT52R2200F
"C4, C5, C6, C7",Aluminum Organic Polymer Capacitors 25Vo 1000uF RAD 2KHr ESR=14 mOhms,4,80-A750MV108M1EAAE14,A750MV108M1EAAE014,X,https://www.mouser.com/c/?q=80-A750MV108M1EAAE14,https://www.amazon.com/s?k=A750MV108M1EAAE014
"J2,J3,J4,J5,J6,J7",Phone Connectors 3.5mm PCB STEREO BLK 5P W/SWITCH,6,806-STX-3100-5N,STX-3100-5N,X,https://www.mouser.com/c/?q=806-STX-3100-5N,https://www.amazon.com/s?k=STX-3100-5N
"TR1,TR2",Audio Transformers / Signal Transformers XFMR OUT 200CT-8 3.2,2,42TU200-RC,42TU200-RC,X,https://www.mouser.com/c/?q=42TU200-RC,https://www.amazon.com/s?k=42TU200-RC
PACTEC Case,Case,1,616-63025-510-000,63025-510-000,X,https://www.mouser.com/c/?q=616-63025-510-000,https://www.amazon.com/s?k=63025-510-000
U8A,Digital to Analog Converters - DAC uP 2x 10-B DAC in MS,1,584-LTC1661IN8#PBF,LTC1661IN8#PBF,X,https://www.mouser.com/c/?q=584-LTC1661IN8%23PBF,https://www.amazon.com/s?k=LTC1661IN8%23PBF
Ribbon Cable,Ribbon Cable,,200-IDSD12D0200,IDSD-12-D-02.00,,https://www.mouser.com/c/?q=200-IDSD12D0200,https://www.amazon.com/s?k=IDSD-12-D-02.00
Battery,12V 2.5AH Sealed Lead Acid Battery,1,547-PS-1220F1,PS-1220F1,,https://www.mouser.com/c/?q=547-PS-1220F1,https://www.amazon.com/s?k=PS-1220F1
C8,10 uF 50V 77 mOhms ORganic aluminum Polymer Capacitor,1,581-RPF0508100M050K,RPF0508100M050K,,https://www.mouser.com/c/?q=581-RPF0508100M050K,https://www.amazon.com/s?k=RPF0508100M050K
,,,,,X,,
,,,,,,,
,,,,,,,
,,,,,,,
Misc,,,,,,,
- Hardware,,,,,,,
,M2.5 x 20mm socket head screw (Front panel screws),4,,,,,https://www.amazon.com/s?k=M2.5%20x%2020mm%20socket%20head%20screw%20%28Front%20panel%20screws%29
,"#4 x 1/4"" sheet metal screw (Main board to case)",6,,,,,https://www.amazon.com/s?k=%234%20x%201%2F4%22%20sheet%20metal%20screw%20%28Main%20board%20to%20case%29
,M2.5 nut (Front panel nut),22,,,,,https://www.amazon.com/s?k=M2.5%20nut%20%28Front%20panel%20nut%29
,18 Gauge Wire Black,300mm,,,,,https://www.amazon.com/s?k=18%20Gauge%20Wire%20Black
,18 Gauge Wire Red,300mm,,,,,https://www.amazon.com/s?k=18%20Gauge%20Wire%20Red
- Misc Modules,,,,,,,
,Bluetooth Module HC-05,1,http://amzn.to/2l0UEo,,,,http://amzn.to/2l0UEo
,Wifi Module (see their parts list),1,https://github.com/Rangarig/MK312WIFI,,,,
Firmware Flashing,,,,,,,
,USBASP for ISP + 10Pin to 6Pin Adapter Board,1,https://www.amazon.com/dp/B0885RKVMC,,,,https://www.amazon.com/dp/B0885RKVMC
,USB to TTL 5PIN Serial Converter,1,https://www.amazon.com/dp/B07D6LLX19,,,,https://www.amazon.com/dp/B07D6LLX19
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
